City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
529,Kirakira,SB,83.73,scattered clouds,-10.4544,161.9205,SanBiz Lodge
531,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
533,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
536,Sur,OM,86.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
538,Cairns,AU,83.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
540,Nabire,ID,85.24,broken clouds,-3.3667,135.4833,Hotel Nusantara I
542,Moundsville,US,76.95,overcast clouds,39.9203,-80.7431,Sleep Inn & Suites
548,Road Town,VG,78.89,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
551,Wanning,CN,88.97,overcast clouds,18.8003,110.3967,Paradise Hotel
558,Ponot,PH,82.65,overcast clouds,8.452,123.0222,Jose Dalman Municipal Building
563,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
565,Lahan,NP,87.71,overcast clouds,26.7296,86.4951,Bhattarai Residence
576,Do Gonbadan,IR,78.89,clear sky,30.3586,50.7981,مسافرخانه شادی
580,Kieta,PG,83.57,light rain,-6.2167,155.6333,Uruna Bay Retreat
582,Beidao,CN,86.5,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
585,Orangeburg,US,84.04,clear sky,33.4918,-80.8557,Palmetto Inn & Suites
592,Neyshabur,IR,85.42,few clouds,36.2133,58.7958,Amiran Hotel & Commercial Complex
598,Gladstone,AU,75.13,broken clouds,-23.85,151.25,Highpoint International Hotel
599,Columbus,US,75.72,overcast clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
601,Dumas,US,87.94,overcast clouds,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
606,Manaure,CO,80.85,few clouds,11.7751,-72.4445,Hotel Palaaima
610,Charyshskoye,RU,77.02,overcast clouds,51.3978,83.5598,Gostinitsa Charysh
