City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
135,Ulladulla,AU,-35.35,150.4667,61.83,41,70,5.57,broken clouds
136,Ancud,CL,-41.8697,-73.8203,50.23,94,100,8.79,light rain
137,Nome,US,64.5011,-165.4064,44.67,70,40,12.66,scattered clouds
138,Morros,BR,-9.4467,-46.3003,72.32,75,39,1.86,scattered clouds
139,Arraial Do Cabo,BR,-22.9661,-42.0278,67.37,81,100,18.86,overcast clouds
140,Port-Cartier,CA,50.0334,-66.8654,55.62,95,100,15.93,light rain
141,Groningen,NL,53.25,6.75,51.04,89,100,4.61,overcast clouds
142,Talakan,RU,50.3167,130.3667,75.38,61,98,7.31,overcast clouds
143,Tautira,PF,-17.7333,-149.15,78.76,71,36,20.42,scattered clouds
144,Schattdorf,CH,46.8655,8.6547,56.41,79,1,2.57,clear sky
145,Honningsvag,NO,70.9821,25.9704,40.75,81,100,10.36,overcast clouds
146,Quatre Cocos,MU,-20.2078,57.7625,73.09,64,91,17.18,overcast clouds
147,Aswan,EG,24.0934,32.907,85.3,30,0,8.05,clear sky
148,Mahebourg,MU,-20.4081,57.7,73.26,68,40,14.97,scattered clouds
149,Manokwari,ID,-0.8667,134.0833,84.4,68,97,11.07,overcast clouds
150,Upernavik,GL,72.7868,-56.1549,30.4,87,87,5.1,light snow
151,Nanortalik,GL,60.1432,-45.2371,37.38,76,18,24.58,few clouds
152,Chuy,UY,-33.6971,-53.4616,50.88,94,7,6.58,clear sky
153,Portland,US,45.5234,-122.6762,57.15,75,75,5.01,broken clouds
154,Potosi,BO,-19.5836,-65.7531,32.59,15,0,3.6,clear sky
155,Bambanglipuro,ID,-7.95,110.2833,84.54,71,55,6.8,broken clouds
156,Saldanha,ZA,-33.0117,17.9442,53.65,78,78,21.12,moderate rain
157,Gizo,SB,-8.103,156.8419,83.46,71,56,5.57,light rain
158,Port Hedland,AU,-20.3167,118.5667,84.25,23,5,12.66,clear sky
159,Talnakh,RU,69.4865,88.3972,68.9,40,92,1.57,overcast clouds
160,Ostrovnoy,RU,68.0531,39.5131,46.45,89,97,5.79,overcast clouds
161,Cedeno,CO,7.0464,-72.1634,68.34,98,82,2.73,broken clouds
162,Alofi,NU,-19.0595,-169.9187,80.49,74,40,11.5,scattered clouds
163,Taltal,CL,-25.4,-70.4833,55.11,85,49,3.02,scattered clouds
164,Zhigansk,RU,66.7697,123.3711,62.31,50,23,7.23,few clouds
165,Northam,GB,51.0333,-4.2167,49.6,92,1,2.59,clear sky
166,Bat Yam,IL,32.0231,34.7503,71.71,82,40,4.61,scattered clouds
167,Whitecourt,CA,54.1502,-115.6855,61.84,59,75,13.8,broken clouds
168,Salalah,OM,17.0151,54.0924,86.09,79,75,4.61,broken clouds
169,Severo-Kurilsk,RU,50.6789,156.125,45.7,89,89,12.37,overcast clouds
170,Touros,BR,-5.1989,-35.4608,75.27,77,3,8.84,clear sky
171,Ferrol,ES,43.4832,-8.2369,66.36,86,11,5.12,few clouds
172,Bluff,NZ,-46.6,168.3333,43.81,67,100,37.6,overcast clouds
173,Vila Velha,BR,-20.3297,-40.2925,67.95,81,0,8.05,clear sky
174,Kawalu,ID,-7.3817,108.2082,84.67,64,71,3.44,broken clouds
175,Ponta Do Sol,PT,32.6667,-17.1,67.71,62,90,3.44,overcast clouds
176,Samarai,PG,-10.6167,150.6667,83.79,72,7,13.87,clear sky
177,Alice Springs,AU,-23.7,133.8833,72.95,32,0,3.44,clear sky
178,Camana,PE,-16.6228,-72.7111,61.48,83,96,4.18,overcast clouds
179,Narsaq,GL,60.9167,-46.05,43.02,53,13,1.68,few clouds
180,Saint George,US,37.1041,-113.5841,90.19,15,0,10.36,clear sky
181,Ayni,TJ,39.3941,68.5377,71.94,45,0,5.23,clear sky
182,Geraldton,AU,-28.7667,114.6,68.41,52,52,11.5,broken clouds
183,Broome,US,42.2506,-75.833,60.01,86,0,4.61,clear sky
184,Carnarvon,AU,-24.8667,113.6333,68.49,50,70,9.1,broken clouds
185,Macklin,CA,52.3334,-109.9348,55.74,93,100,12.41,overcast clouds
186,Chokurdakh,RU,70.6333,147.9167,73.18,18,5,17.6,clear sky
187,Yichang,CN,30.7144,111.2847,94.82,36,4,1.16,clear sky
188,Saint Andrews,US,34.0454,-81.1293,87.53,70,40,0,scattered clouds
189,Cap Malheureux,MU,-19.9842,57.6142,73.47,59,93,8.99,overcast clouds
190,East London,ZA,-33.0153,27.9116,72.54,37,0,6.91,clear sky
191,Faanui,PF,-16.4833,-151.75,79.86,71,11,21.81,few clouds
192,Huarmey,PE,-10.0681,-78.1522,62.89,85,11,10.09,few clouds
193,Uige,AO,-7.6087,15.0613,59.13,71,50,3.09,scattered clouds
194,Armizonskoye,RU,55.9461,67.6736,51.58,95,100,8.28,light rain
195,Naze,JP,28.3667,129.4833,79.72,78,100,20.33,overcast clouds
196,Mutoko,ZW,-17.397,32.2268,48.42,95,0,2.62,clear sky
197,Inhambane,MZ,-23.865,35.3833,66.51,89,0,6.96,clear sky
198,Wamba,NG,8.9333,8.6,72.34,91,85,1.36,overcast clouds
199,Francistown,BW,-21.17,27.5079,50.58,50,0,6.91,clear sky
200,Altay,CN,47.8667,88.1167,82.6,37,72,9.71,broken clouds
201,Havoysund,NO,70.9963,24.6622,41.23,81,99,3.87,overcast clouds
202,Guerrero Negro,MX,27.9769,-114.0611,64,87,48,17.07,scattered clouds
203,Okhotsk,RU,59.3833,143.3,43.36,94,100,7.45,light rain
204,Kijini,TZ,-5.85,39.3167,74.28,85,12,12.57,light rain
205,Dingle,PH,10.9995,122.6711,88.93,61,60,6.64,broken clouds
206,Ejido,VE,8.5514,-71.2375,64.67,91,100,5.59,overcast clouds
207,Estelle,US,29.8458,-90.1067,84.18,75,75,4.61,broken clouds
208,Lorengau,PG,-2.0226,147.2712,85.37,63,21,13,few clouds
209,Ola,RU,59.5833,151.2833,52.14,80,100,8.39,overcast clouds
210,Riviere-Au-Renard,CA,48.9957,-64.3971,52.09,98,100,6.11,overcast clouds
211,Kumluca,TR,36.3703,30.2869,72.9,75,78,2.33,broken clouds
212,Olafsvik,IS,64.8945,-23.7142,48.18,90,100,12.66,overcast clouds
213,Mao,ES,39.8885,4.2658,66.76,63,0,0,clear sky
214,Harper,LR,4.375,-7.7169,76.55,78,0,5.23,clear sky
215,Thiruvananthapuram,IN,8.4833,76.9167,85.98,70,20,8.05,few clouds
216,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,81,20,12.66,few clouds
217,Jacareacanga,BR,-6.2222,-57.7528,70.45,99,100,0.83,overcast clouds
218,Coihaique,CL,-45.5752,-72.0662,39.15,100,40,8.05,scattered clouds
219,Caravelas,BR,-17.7125,-39.2481,71.91,70,91,10.6,overcast clouds
220,Carballo,ES,43.213,-8.691,66,98,12,1.36,few clouds
221,Fairbanks,US,64.8378,-147.7164,76.08,28,0,6.91,smoke
222,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,94,75,4.18,broken clouds
