City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
148,Butaritari,17,KI,2022-06-11 15:38:00,76,3.0707,172.7902,81.32,11.68
149,Norman Wells,75,CA,2022-06-11 15:38:00,76,65.282,-126.8329,51.84,10.36
150,Goya,3,AR,2022-06-11 15:38:01,28,-29.14,-59.2626,56.12,0.31
151,Carnarvon,1,AU,2022-06-11 15:38:01,70,-24.8667,113.6333,70.63,11.99
152,Cairns,29,AU,2022-06-11 15:36:12,68,-16.9167,145.7667,66.15,11.5
153,Arlit,82,NE,2022-06-11 15:38:02,18,18.7369,7.3853,98.65,18.92
154,Sakakah,0,SA,2022-06-11 15:38:02,9,29.9697,40.2064,105.37,9.17
155,Tasiilaq,3,GL,2022-06-11 15:38:02,69,65.6145,-37.6368,42.96,1.72
156,Homer,0,US,2022-06-11 15:38:03,80,59.6425,-151.5483,53.49,1.99
157,Sao Filipe,6,CV,2022-06-11 15:38:03,77,14.8961,-24.4956,75.36,5.73
158,Alice Springs,100,AU,2022-06-11 15:38:03,66,-23.7,133.8833,49.55,8.05
159,Tiksi,88,RU,2022-06-11 15:38:04,77,71.6872,128.8694,37.74,7.4
160,Westport,0,US,2022-06-11 15:38:04,54,41.1415,-73.3579,78.1,4.61
161,Hoa Binh,100,VN,2022-06-11 15:36:08,97,20.8133,105.3383,79.25,1.86
162,Aklavik,100,CA,2022-06-11 15:38:05,93,68.2191,-135.0107,35.6,13.8
163,Shanghai,20,CN,2022-06-11 15:38:05,79,31.2222,121.4581,73.26,6.71
164,Richards Bay,0,ZA,2022-06-11 15:38:06,80,-28.783,32.0377,67.55,12.62
165,Vao,97,NC,2022-06-11 15:38:06,82,-22.6667,167.4833,72.25,8.5
166,Puerto Padre,91,CU,2022-06-11 15:38:06,57,21.195,-76.6028,88.03,5.46
167,Castro,100,BR,2022-06-11 15:38:07,42,-24.7911,-50.0119,55.24,3.4
168,Port Lincoln,6,AU,2022-06-11 15:38:07,75,-34.7333,135.8667,52.88,6.78
